label,side,time,regime,train_edge,test_edge,test_wr,test_freq,test_n,consistency,decay_pct,validated,note
roc5>0 & ema9>21,short,all,all,0.1167,0.1109,0.42,18.89,2331,7.934,5.0,True,short | all/all | WR 42% at 18.9/day
after_30m & price<ema9 & bullish_di,long,all,all,0.1028,0.0612,0.413,18.89,2331,7.808,40.4,True,long | all/all | WR 41% at 18.9/day
mom10>0 & adx>20,short,all,all,0.1041,0.1287,0.421,18.53,2286,7.8,-23.6,True,short | all/all | WR 42% at 18.5/day
price>ema21,short,all,all,0.1179,0.1275,0.426,18.26,2253,7.778,-8.2,True,short | all/all | WR 43% at 18.3/day
price<ema21,long,all,all,0.112,0.1043,0.418,18.48,2280,7.73,6.9,True,long | all/all | WR 42% at 18.5/day
cci>0 & price<ema9,long,all,all,0.1,0.0896,0.426,18.1,2233,7.709,10.4,True,long | all/all | WR 43% at 18.1/day
bb_pct>80,short,all,all,0.0653,0.1023,0.427,17.93,2212,7.661,-56.8,True,short | all/all | WR 43% at 17.9/day
cci>0 & mom10>0,short,all,all,0.0983,0.1165,0.423,17.99,2220,7.604,-18.5,True,short | all/all | WR 42% at 18.0/day
after_30m & price>ema21,short,all,all,0.1246,0.1275,0.426,17.86,2204,7.603,-2.3,True,short | all/all | WR 43% at 17.9/day
price<ema21 & mom10<0,long,all,all,0.0855,0.081,0.409,18.53,2286,7.577,5.3,True,long | all/all | WR 41% at 18.5/day
cci<0 & roc5>0,long,all,all,0.0762,0.0503,0.398,19.02,2347,7.564,34.0,True,long | all/all | WR 40% at 19.0/day
cci<0 & price>ema9,short,all,all,0.097,0.0943,0.423,17.88,2206,7.556,2.8,True,short | all/all | WR 42% at 17.9/day
after_30m & price<ema21,long,all,all,0.113,0.104,0.417,18.0,2221,7.512,8.0,True,long | all/all | WR 42% at 18.0/day
mom10<0 & adx>20,long,all,all,0.1145,0.0959,0.421,17.75,2190,7.466,16.3,True,long | all/all | WR 42% at 17.8/day
ema21>50 & price<ema9,long,all,all,0.1206,0.0837,0.424,17.58,2169,7.447,30.6,True,long | all/all | WR 42% at 17.6/day
price<ema21 & roc5>0,long,all,all,0.0874,0.0609,0.407,18.16,2241,7.392,30.3,True,long | all/all | WR 41% at 18.2/day
price>vwap & price>ema9,short,all,all,0.1348,0.0934,0.412,17.92,2211,7.388,30.8,True,short | all/all | WR 41% at 17.9/day
vwma9>21 & price>ema9,long,all,all,0.1039,0.0756,0.428,17.21,2124,7.367,27.2,True,long | all/all | WR 43% at 17.2/day
after_30m & cci>0 & price<ema9,long,all,all,0.1036,0.0885,0.426,17.24,2127,7.338,14.6,True,long | all/all | WR 43% at 17.2/day
cci>0 & price>ema21,short,all,all,0.1278,0.1226,0.425,17.2,2122,7.309,4.1,True,short | all/all | WR 42% at 17.2/day
bullish_di & mom10>0,long,all,all,0.104,0.078,0.421,17.25,2129,7.264,25.1,True,long | all/all | WR 42% at 17.2/day
price>ema21 & adx>20,short,all,all,0.1013,0.1374,0.428,16.84,2078,7.213,-35.6,True,short | all/all | WR 43% at 16.8/day
ema21>50 & roc5>0,short,all,all,0.1162,0.0864,0.406,17.62,2174,7.159,25.7,True,short | all/all | WR 41% at 17.6/day
price>ema9 & ema9>21,short,all,all,0.1269,0.1033,0.417,17.15,2116,7.151,18.6,True,short | all/all | WR 42% at 17.1/day
price>ema21 & bearish_di,short,all,all,0.1008,0.0782,0.409,17.46,2154,7.134,22.4,True,short | all/all | WR 41% at 17.5/day
bullish_di & price>ema21,long,all,all,0.126,0.0976,0.424,16.81,2074,7.121,22.5,True,long | all/all | WR 42% at 16.8/day
bearish_di & mom10<0,long,all,all,0.1074,0.0906,0.409,17.39,2146,7.119,15.6,True,long | all/all | WR 41% at 17.4/day
bb_pct<20,long,all,all,0.1053,0.0937,0.409,17.31,2136,7.074,11.0,True,long | all/all | WR 41% at 17.3/day
vwma9>21 & cci>0 & price<ema9,long,all,all,0.0892,0.0808,0.424,16.68,2058,7.072,9.4,True,long | all/all | WR 42% at 16.7/day
after_30m & ema21>50 & price<ema9,long,all,all,0.1246,0.0816,0.422,16.75,2067,7.064,34.5,True,long | all/all | WR 42% at 16.8/day
after_30m & cci>0 & price>ema21,short,all,all,0.1328,0.1195,0.422,16.73,2064,7.064,10.0,True,short | all/all | WR 42% at 16.7/day
cci<0 & mom10<0,long,all,all,0.0944,0.0875,0.408,17.31,2136,7.063,7.3,True,long | all/all | WR 41% at 17.3/day
price<ema9 & price>vwap,long,all,all,0.1035,0.0886,0.422,16.72,2063,7.055,14.4,True,long | all/all | WR 42% at 16.7/day
bearish_di & price<ema21,long,all,all,0.102,0.0871,0.405,17.42,2150,7.051,14.6,True,long | all/all | WR 40% at 17.4/day
cci<0 & price<ema21,long,all,all,0.1003,0.0848,0.411,17.1,2110,7.022,15.5,True,long | all/all | WR 41% at 17.1/day
price<ema9 & rsi50_xdn,long,all,all,0.1158,0.0802,0.402,17.43,2151,7.014,30.8,True,long | all/all | WR 40% at 17.4/day
cci>0 & bullish_di & price>ema21,long,all,all,0.1241,0.0897,0.424,16.49,2035,6.987,27.7,True,long | all/all | WR 42% at 16.5/day
macd<0 & price>ema9,short,all,all,0.0825,0.0916,0.42,16.6,2048,6.965,-11.0,True,short | all/all | WR 42% at 16.6/day
bullish_di,long,all,all,0.1145,0.1107,0.424,16.41,2025,6.958,3.3,True,long | all/all | WR 42% at 16.4/day
vwma9>21 & price<ema9 & bullish_di,long,all,all,0.1082,0.0748,0.421,16.45,2030,6.932,30.9,True,long | all/all | WR 42% at 16.4/day
